City,Rent_Index,Safety_Index,Cost_of_Living,Purchasing_Power,Quality_of_Life
Zurich,83.16,65.74,99.67,115.31,39.25
Berlin,83.98,70.57,76.85,115.55,42.91
Rome,70.75,54.42,84.53,71.35,22.26
Budapest,113.73,55.38,33.29,88.06,25.76
Rome,25.45,33.95,58.11,64.04,24.9
Warsaw,107.62,76.6,80.67,104.46,35.17
Amsterdam,85.43,87.64,76.08,119.3,49.32
Berlin,109.02,84.91,48.79,66.14,25.25
Prague,53.09,69.47,83.28,100.69,42.17
Vienna,95.75,87.68,86.45,51.09,18.95
Madrid,60.98,72.18,37.42,103.64,47.17
Rome,40.3,87.12,74.82,86.98,45.39
Copenhagen,93.48,86.2,46.85,78.51,33.88
Prague,119.67,50.94,68.15,61.31,9.06
Lisbon,81.22,38.03,52.03,118.49,37.36
Lisbon,29.52,63.52,79.89,49.94,25.14
Amsterdam,61.08,48.05,91.35,112.23,37.96
Berlin,80.61,44.45,64.13,49.83,10.73
Prague,78.12,86.72,62.97,83.48,37.49
Dublin,117.7,48.98,54.28,116.14,32.18
Brussels,111.53,83.31,85.44,63.99,19.74
Oslo,53.78,55.89,33.44,46.19,21.14
Berlin,73.91,34.05,91.39,63.52,11.7
London,30.67,43.43,76.24,77.97,30.46
Madrid,51.35,42.8,98.48,65.05,18.74
Oslo,52.76,77.08,81.27,82.03,37.26
Warsaw,49.91,53.22,44.61,111.92,46.29
Helsinki,115.17,32.53,71.75,121.99,28.35
Oslo,25.74,32.64,51.23,56.17,21.99
Rome,97.11,71.86,58.62,58.09,19.51
Berlin,78.13,50.28,47.05,45.79,13.07
Vienna,56.29,36.98,65.37,69.91,21.26
Oslo,118.52,58.61,90.82,95.74,23.09
Lisbon,85.64,81.64,39.43,51.51,24.03
Warsaw,94.82,70.98,97.09,116.36,39.17
Oslo,31.0,75.61,61.43,58.82,33.87
Copenhagen,104.74,32.52,65.73,50.43,2.41
Vienna,79.08,84.85,41.17,67.76,32.63
Amsterdam,84.44,83.38,71.01,89.34,36.76
Warsaw,101.34,62.23,92.58,78.2,20.42
Helsinki,41.3,76.05,76.08,116.88,53.7
Lisbon,30.25,37.48,85.97,66.39,23.15
Lisbon,22.34,48.59,91.84,89.67,36.79
Zurich,100.37,60.37,44.43,86.21,28.08
Berlin,38.06,60.79,49.84,76.23,36.13
Madrid,75.1,62.12,34.43,54.15,21.83
Oslo,32.44,51.72,71.51,90.71,38.16
Madrid,20.58,73.85,65.5,97.38,50.44
Paris,97.87,73.0,63.55,102.59,37.01
Helsinki,79.94,34.32,74.45,126.48,37.46
Zurich,72.01,54.62,61.06,122.14,44.73
Rome,81.05,64.1,70.32,69.35,23.73
Paris,82.18,72.79,66.57,95.57,36.97
Copenhagen,65.1,78.36,55.67,46.89,23.68
Oslo,104.88,58.25,51.64,80.2,23.42
Amsterdam,85.17,60.36,39.64,125.29,47.23
Prague,43.7,66.26,88.15,59.2,26.0
Amsterdam,28.16,48.79,92.13,71.19,28.27
Berlin,70.56,79.55,62.65,54.63,25.34
Amsterdam,48.12,45.23,72.57,103.06,37.91
Madrid,26.25,77.47,35.22,42.01,31.27
Copenhagen,30.22,58.64,56.39,96.62,44.56
Madrid,66.89,36.51,77.29,70.73,18.14
Helsinki,40.04,57.04,30.29,70.42,34.24
Madrid,117.65,39.9,53.86,129.48,34.85
Dublin,61.76,40.67,51.66,127.3,45.6
Madrid,117.38,77.51,35.31,79.71,28.13
Stockholm,29.2,71.69,76.74,73.75,37.49
Vienna,27.14,77.56,81.26,80.84,42.05
Rome,66.14,51.32,94.62,106.2,35.19
Vienna,76.51,35.89,83.39,126.14,37.58
Dublin,44.35,53.27,98.41,85.68,31.54
Rome,63.63,57.84,81.23,68.36,23.85
Athens,43.48,51.06,59.83,65.15,26.7
Athens,71.0,42.39,70.15,110.27,35.61
Vienna,79.52,71.67,55.71,120.55,48.25
Stockholm,47.15,34.03,33.62,58.44,20.79
Copenhagen,32.52,36.47,69.96,55.24,19.54
Budapest,31.13,73.1,30.89,116.08,59.05
Paris,56.14,56.48,81.3,63.21,22.87
Vienna,81.2,69.32,44.96,49.12,19.71
Madrid,104.39,43.59,73.02,56.79,7.61
Amsterdam,64.32,42.21,35.88,66.93,22.98
Prague,107.13,89.82,95.32,62.59,21.02
Stockholm,119.5,60.23,89.04,126.37,35.81
Lisbon,106.81,47.82,73.97,97.4,24.55
Prague,46.72,58.46,50.63,60.21,27.21
Paris,26.42,45.38,73.42,98.43,40.36
Amsterdam,90.11,69.35,58.79,119.02,44.51
Athens,48.8,88.44,95.39,69.3,34.95
Budapest,28.74,48.28,91.53,67.21,26.47
Vienna,81.04,70.55,60.63,120.18,46.97
Lisbon,104.59,87.48,85.38,71.24,25.28
Warsaw,38.35,36.14,86.43,123.45,43.91
Dublin,35.99,50.33,67.18,102.52,42.19
Rome,91.57,79.44,96.28,49.24,15.59
Madrid,24.57,75.44,83.35,45.03,27.39
Berlin,88.75,46.19,68.9,87.44,24.19
Prague,79.29,79.81,50.57,73.72,32.52
Warsaw,52.02,59.27,85.46,73.83,28.36
Rome,70.04,54.41,94.04,72.69,21.99
Vienna,114.98,74.18,80.78,62.79,16.3
London,117.7,74.94,60.79,109.04,36.48
Paris,117.02,71.97,30.45,42.56,12.17
Rome,68.55,73.72,86.13,45.92,18.16
Brussels,21.89,50.54,80.51,104.02,44.34
Budapest,118.67,78.42,92.78,81.98,23.31
Stockholm,23.55,67.27,59.26,50.35,29.68
Lisbon,70.94,74.29,64.36,52.57,22.69
Amsterdam,71.74,84.58,89.4,113.1,47.33
Dublin,75.38,30.01,47.34,68.97,16.78
Stockholm,56.29,58.63,70.26,51.92,20.07
London,26.24,77.15,40.96,43.57,31.23
Madrid,35.77,67.7,96.42,49.37,23.26
Budapest,74.79,39.22,57.42,126.87,41.81
Dublin,52.16,87.7,61.9,81.49,42.28
Berlin,81.66,50.92,40.79,78.21,26.15
Amsterdam,101.51,47.47,77.19,52.15,7.08
Amsterdam,49.89,32.0,95.78,58.32,13.37
Stockholm,73.95,42.25,82.26,48.05,8.88
Lisbon,91.08,58.62,81.06,127.15,42.12
Warsaw,36.05,73.37,37.72,61.88,35.78
Stockholm,66.93,40.7,43.73,89.38,30.2
London,20.61,63.21,30.47,128.27,63.1
Athens,58.72,61.4,97.78,91.54,33.51
Zurich,74.64,38.15,87.96,63.48,13.11
Copenhagen,88.76,52.4,96.23,127.47,39.33
Vienna,59.17,87.49,53.67,52.55,30.07
Madrid,116.58,62.36,31.19,95.07,30.3
Oslo,94.8,84.57,99.93,79.62,28.27
London,21.32,87.74,84.34,97.36,52.57
Oslo,79.39,83.4,67.06,104.41,44.2
Berlin,69.56,77.99,67.19,73.36,32.11
Zurich,116.68,84.9,33.01,103.81,40.36
Amsterdam,25.09,44.81,57.45,103.62,44.13
Berlin,53.56,75.68,97.33,56.92,25.03
Budapest,79.47,65.02,53.72,116.78,44.95
Rome,83.68,35.19,86.66,110.57,29.38
Vienna,92.61,38.21,90.59,119.36,31.63
Helsinki,78.12,34.48,37.89,46.6,9.57
Athens,89.41,76.22,41.38,51.28,21.36
Prague,88.49,63.67,48.77,79.35,28.27
Zurich,22.34,47.66,71.29,126.66,53.36
London,93.67,55.98,66.06,97.17,30.32
Helsinki,115.09,35.28,91.71,95.28,16.51
Paris,95.02,41.88,89.13,96.75,23.35
Helsinki,74.98,34.76,47.65,112.24,35.56
Paris,115.73,78.58,44.2,92.74,33.1
Copenhagen,41.52,74.55,35.85,61.48,35.07
Zurich,31.83,53.17,52.7,106.4,46.88
Lisbon,110.24,52.46,41.45,128.56,40.97
Warsaw,26.9,68.25,97.43,107.29,48.27
Prague,46.68,77.5,84.62,81.06,37.88
Budapest,48.93,41.14,65.4,108.93,39.59
Prague,76.91,80.41,56.91,127.77,54.16
Lisbon,96.96,51.03,62.95,87.61,24.67
Oslo,55.44,89.92,53.76,89.5,46.31
Oslo,52.63,81.64,50.49,79.79,40.83
Copenhagen,20.57,70.24,69.73,92.07,46.81
Oslo,106.74,41.72,74.23,116.62,30.39
Madrid,21.06,89.12,55.58,49.43,36.74
Copenhagen,115.18,70.69,84.66,103.13,30.96
Warsaw,65.78,63.35,30.04,104.75,44.75
London,20.77,43.27,36.53,47.42,24.14
Madrid,47.51,61.38,35.96,59.24,29.01
